Metric,Value
Avg_PerfScore_pct,
Avg_FCP_ms,
Avg_LCP_ms,
Avg_SpeedIndex_ms,
Avg_TBT_ms,
Avg_CLS,
Avg_Requests,
Avg_JSBytes,
Avg_PageWeight_MB,
Avg_CO2_SWD_g,
Avg_CO2_OneByte_g,
